,season,Var.4,Visitor/Neutral,PTS,Home/Neutral,PTS.1,playoffs
46663,2007,Box Score,Sacramento Kings,109,Seattle SuperSonics,100,0
46664,2007,Box Score,Los Angeles Lakers,108,Utah Jazz,114,0
46665,2007,Box Score,Miami Heat,102,Charlotte Bobcats,93,0
46666,2007,Box Score,Philadelphia 76ers,95,Cleveland Cavaliers,108,0
46667,2007,Box Score,New Orleans/Oklahoma City Hornets,73,Dallas Mavericks,85,0
46668,2007,Box Score,Utah Jazz,78,Golden State Warriors,91,0
46669,2007,Box Score,Memphis Grizzlies,76,Houston Rockets,85,0
46670,2007,Box Score,Boston Celtics,111,Milwaukee Bucks,98,0
46671,2007,Box Score,Los Angeles Clippers,96,Minnesota Timberwolves,104,0
46672,2007,Box Score,Chicago Bulls,106,New York Knicks,95,0
46673,2007,Box Score,Atlanta Hawks,79,Orlando Magic,98,0
46674,2007,Box Score,Portland Trail Blazers,85,Sacramento Kings,105,0
46675,2007,Box Score,Detroit Pistons,115,Washington Wizards,111,0
46676,2007,Box Score,Los Angeles Clippers,88,Denver Nuggets,103,0
46677,2007,Box Score,New Jersey Nets,93,Los Angeles Lakers,99,0
46678,2007,Box Score,Phoenix Suns,119,Portland Trail Blazers,101,0
46679,2007,Box Score,San Antonio Spurs,98,Seattle SuperSonics,78,0
46680,2007,Box Score,Indiana Pacers,83,Toronto Raptors,92,0
46681,2007,Box Score,Minnesota Timberwolves,87,Dallas Mavericks,93,0
46682,2007,Box Score,San Antonio Spurs,102,Golden State Warriors,111,0
46683,2007,Box Score,Philadelphia 76ers,91,Miami Heat,103,0
46684,2007,Box Score,Orlando Magic,88,Utah Jazz,75,0
46685,2007,Box Score,New York Knicks,85,Chicago Bulls,102,0
46686,2007,Box Score,Memphis Grizzlies,108,Denver Nuggets,96,0
46687,2007,Box Score,Minnesota Timberwolves,75,Houston Rockets,82,0
46688,2007,Box Score,Milwaukee Bucks,109,Los Angeles Lakers,105,0
46689,2007,Box Score,Charlotte Bobcats,96,New Jersey Nets,92,0
46690,2007,Box Score,Toronto Raptors,94,New Orleans/Oklahoma City Hornets,77,0
46691,2007,Box Score,Indiana Pacers,105,Portland Trail Blazers,97,0
46692,2007,Box Score,Los Angeles Clippers,80,Sacramento Kings,93,0
46693,2007,Box Score,Atlanta Hawks,95,Washington Wizards,96,0
46694,2007,Box Score,Charlotte Bobcats,90,Atlanta Hawks,99,0
46695,2007,Box Score,New Jersey Nets,106,Boston Celtics,103,0
46696,2007,Box Score,New York Knicks,101,Cleveland Cavaliers,98,0
46697,2007,Box Score,Toronto Raptors,98,Dallas Mavericks,117,0
46698,2007,Box Score,Indiana Pacers,108,Golden State Warriors,106,0
46699,2007,Box Score,Memphis Grizzlies,90,Los Angeles Clippers,105,0
46700,2007,Box Score,Houston Rockets,91,Phoenix Suns,102,0
46701,2007,Box Score,Orlando Magic,94,Seattle SuperSonics,84,0
46702,2007,Box Score,San Antonio Spurs,75,Utah Jazz,83,0
46703,2007,Box Score,Utah Jazz,102,Los Angeles Lakers,132,0
46704,2007,Box Score,Detroit Pistons,87,Miami Heat,85,0
46705,2007,Box Score,Cleveland Cavaliers,106,Atlanta Hawks,95,0
46706,2007,Box Score,Sacramento Kings,90,Dallas Mavericks,109,0
46707,2007,Box Score,New York Knicks,100,Detroit Pistons,108,0
46708,2007,Box Score,Denver Nuggets,106,Minnesota Timberwolves,92,0
46709,2007,Box Score,Chicago Bulls,111,New Orleans/Oklahoma City Hornets,108,0
46710,2007,Box Score,Milwaukee Bucks,116,Phoenix Suns,122,0
46711,2007,Box Score,Orlando Magic,91,Portland Trail Blazers,89,0
46712,2007,Box Score,Indiana Pacers,103,Seattle SuperSonics,105,0
46713,2007,Box Score,Boston Celtics,102,Toronto Raptors,106,0
46714,2007,Box Score,Charlotte Bobcats,109,Washington Wizards,121,0
46715,2007,Box Score,Washington Wizards,94,Chicago Bulls,112,0
46716,2007,Box Score,Indiana Pacers,101,Denver Nuggets,121,0
46717,2007,Box Score,Milwaukee Bucks,115,Golden State Warriors,110,0
46718,2007,Box Score,Cleveland Cavaliers,63,Houston Rockets,81,0
46719,2007,Box Score,Los Angeles Lakers,97,Los Angeles Clippers,88,0
46720,2007,Box Score,Miami Heat,98,Memphis Grizzlies,97,0
46721,2007,Box Score,Philadelphia 76ers,107,New Jersey Nets,112,0
46722,2007,Box Score,Toronto Raptors,103,New York Knicks,100,0
46723,2007,Box Score,Sacramento Kings,98,San Antonio Spurs,100,0
46724,2007,Box Score,Seattle SuperSonics,107,Utah Jazz,109,0
46725,2007,Box Score,Detroit Pistons,89,Charlotte Bobcats,97,0
46726,2007,Box Score,Orlando Magic,91,Los Angeles Clippers,116,0
46727,2007,Box Score,Minnesota Timberwolves,95,Philadelphia 76ers,84,0
46728,2007,Box Score,Atlanta Hawks,107,Portland Trail Blazers,96,0
46729,2007,Box Score,Boston Celtics,82,Chicago Bulls,100,0
46730,2007,Box Score,Indiana Pacers,87,Los Angeles Lakers,101,0
46731,2007,Box Score,Memphis Grizzlies,90,New York Knicks,98,0
46732,2007,Box Score,Orlando Magic,92,Sacramento Kings,89,0
46733,2007,Box Score,Golden State Warriors,89,San Antonio Spurs,129,0
46734,2007,Box Score,Milwaukee Bucks,88,Utah Jazz,101,0
46735,2007,Box Score,Dallas Mavericks,97,Washington Wizards,106,0
46736,2007,Box Score,Portland Trail Blazers,88,Detroit Pistons,85,0
46737,2007,Box Score,Golden State Warriors,90,Houston Rockets,118,0
46738,2007,Box Score,Miami Heat,97,Los Angeles Clippers,101,0
46739,2007,Box Score,Dallas Mavericks,92,New Jersey Nets,75,0
46740,2007,Box Score,Sacramento Kings,102,Phoenix Suns,127,0
